bookName,author,publish,publishTime,price,ISBN,comments,paperType,package,isSuit,category
Python程序员面试算法宝典,张波 楚秦 等,机械工业出版社,2018年09月,42.90,9787111607793,654,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python机器学习 预测分析核心算法,[美] Michael Bowles 鲍尔斯  著,人民邮电出版社,2016年12月,54.10,9787115433732,3184,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>算法
Python自动化开发实战,黄永祥,清华大学出版社,2019年04月,54.20,9787302524908,50,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python编程基础与案例集锦（中学版）,董付国,电子工业出版社,2019年02月,45.80,9787121355394,32,胶版纸,平装-胶订,否,图书>中小学教辅>初中通用>其他科目
Python袖珍指南（第五版）,[美]Mark Lutz（马克·卢茨）,中国电力出版社,2014年12月,26.20,9787512364554,1007,胶版纸,平装,否,图书>计算机/网络>软件工程/开发项目管理
Python基础教程,相甍甍 孙鸿飞,清华大学出版社,2019年06月,68.00,9787302528906,1,胶版纸,平装-胶订,否,图书>教材>研究生/本科/专科教材>工学
Python基础教程(第2版·修订版),(挪)海特兰德,人民邮电出版社,2014年06月,70.30,9787115353528,29182,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python自动化运维快速入门,郑征,清华大学出版社,2019年03月,40.40,9787302525806,106,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Python数据挖掘与机器学习实战,方巍,机械工业出版社,2019年06月,54.30,9787111626817,17,胶版纸,平装-胶订,否,图书>计算机/网络>程序设计>Python
Selenium3自动化测试实战——基于Python语言,虫师,电子工业出版社,2019年06月,54.50,9787121369247,3,胶版纸,平装-胶订,否,图书>计算机/网络>网络与数据通信>网络配置与管理
Python学习手册：第4版（涵盖Python2.6和3.X）,鲁特兹　著，李军，刘红伟　译,机械工业出版社,2011年04月,93.70,9787111326533,7297,胶版纸,平装,否,图书>计算机/网络>程序设计>Python
